first_name,last_name,email,phone,age,city,registration_date,customer_segment,credit_score,total_spent,customer_id
Danielle,Johnson,john21@example.net,001-581-896-0013x3890,40.0,Annaba,2024-03-18,Standard,636.0,6786.35,CUST_00000
Joshua,Booth,helenpeterson@example.org,651.216.1559,29.0,Sidi Bel Abbès,2024-06-21,Standard,704.0,11496.74,CUST_00001
Teresa,Gray,maria95@example.net,610.934.1316,24.0,Batna,2023-05-09,Standard,508.0,5959.11,CUST_00002
Michael,Santiago,lynchgeorge@example.net,527.264.8350,27.0,BATNA,2024-01-25,Standard,620.0,16259.63,CUST_00003
Carl,Gentry,jason76@example.net,724.523.8849x696,37.0,Constantine,2024-05-23,Standard,454.0,3706.01,CUST_00004
Christopher,Williams,hernandezernest@example.net,(791)366-9784x80184,33.0,Blida,2024-03-02,Standard,619.0,3533.88,CUST_00005
Shawn,Mckay,teresa28@example.org,+1-948-293-2528x8095,26.0,Oran,2025-08-26,Premium,711.0,12598.18,CUST_00006
Natasha,Decker,missing,671-882-2782,38.0,Annaba,2025-08-26,Standard,747.0,9231.1,CUST_00007
Karina,Vaughn,raymond57@example.net,213.331.5098x393,39.0,Algiers,2023-07-20,Basic,585.0,11994.66,CUST_00008
Rebecca,Heath,palmerjoshua@example.com,582.399.7376,36.0,Oran,2024-11-03,Standard,620.0,6986.04,CUST_00009
Michael,Jenkins,nuneztracey@example.org,4658133387,25.0,Constantine,2023-09-13,Basic,599.0,3590.01,CUST_00010
John,Leblanc,jmorton@example.org,5808132677,26.0,ALGIERS,2023-05-11,Standard,617.0,22875.020000000004,CUST_00011
Aaron,Myers,smitchell@example.net,+1-272-734-3098,30.0,Algiers,2023-01-05,Basic,569.0,2535.57,CUST_00012
Thomas,Calhoun,missing,291-336-1939,18.0,Sétif,2024-11-01,Standard,647.0,11232.7,CUST_00013
Annette,Stewart,james53@example.com,(524)675-1079x9118,34.0,Constantine,2025-08-30,Basic,533.0,23185.02,CUST_00014
Nicole,Suarez,justin78@example.net,698-608-4124x1182,42.0,Tlemcen,2023-06-30,Premium,850.0,10650.27,CUST_00015
Matthew,Watts,william40@example.org,+1-264-300-5242x7868,18.0,Oran,2025-09-12,Standard,656.0,5762.91,CUST_00016
Hannah,Hernandez,davenportbrandi@example.org,(420)545-0533x15869,44.0,Constantine,2025-10-16,Basic,526.0,9018.78,CUST_00017
Lisa,Keith,whitesandra@example.com,+1-534-221-6073x37543,20.0,Annaba,2024-01-22,Standard,517.0,13920.74,CUST_00018
Joshua,Jones,michael86@example.net,+1-350-814-2940,38.0,Batna,2025-01-18,Premium,578.0,26506.78,CUST_00019
Lee,Obrien,cruzbarbara@example.com,7607883561,48.0,Oran,2025-01-08,Standard,567.0,7585.240000000001,CUST_00020
Kevin,Parker,snguyen@example.com,+1-823-266-2994,34.0,Blida,2023-09-22,Basic,684.0,9185.22,CUST_00021
Russell,Carpenter,steven73@example.net,221.248.9513x4332,22.0,ANNABA,2025-10-25,Basic,698.0,483.56,CUST_00022
Cheryl,Mack,operry@example.net,567.463.2016,24.0,Biskra,2024-04-04,Basic,498.0,1726.83,CUST_00023
Angela,Lowery,bryantlaurie@example.net,589.657.9868x72774,35.0,Biskra,2024-04-26,Basic,535.0,4672.01,CUST_00024
John,Gonzales,jimmy55@example.net,822-736-2316,41.0,Biskra,2024-04-05,Basic,850.0,12923.45,CUST_00025
Bryan,Wall,lstein@example.net,5969705466,29.0,ANNABA,2023-09-07,Standard,658.0,2141.78,CUST_00026
Todd,Price,dramsey@example.org,+1-280-669-9016x272,35.0,Sétif,2023-11-05,Basic,542.0,7026.370000000001,CUST_00027
Shawn,Rogers,aramirez@example.com,270-580-5310,18.0,ANNABA,2025-05-19,Basic,668.0,28573.2,CUST_00028
Christine,Allen,kcaldwell@example.org,645.829.9124x190,20.0,Sétif,2025-09-08,Standard,616.0,4755.78,CUST_00029
James,Vargas,curtisbarton@example.net,+1-819-905-8651x850,60.0,ORAN,2024-03-01,Standard,753.0,367.66,CUST_00030
Michael,Snow,bzimmerman@example.org,001-684-998-7769x4531,40.0,Annaba,2025-02-11,Standard,727.0,6075.77,CUST_00031
Ashley,Barnett,anthony52@example.com,554.354.9480,29.0,Annaba,2025-01-09,Standard,663.0,3472.95,CUST_00032
Tracy,Chang,fbrewer@example.com,9147363495,35.0,Sétif,2025-11-08,Basic,611.0,1904.87,CUST_00033
Andrea,Bell,qnelson@example.org,635-618-2337,38.0,Oran,2025-05-12,Premium,587.0,17717.72,CUST_00034
Kenneth,Ward,alexis82@example.com,6089427109,45.0,Sidi Bel Abbès,2024-03-08,Standard,680.0,3922.7,CUST_00035
Jack,Williams,ewilson@example.com,519.802.2941x3186,50.0,Sidi Bel Abbès,2025-08-03,Standard,590.0,6005.549999999999,CUST_00036
Kenneth,Chapman,ntorres@example.org,+1-213-834-1232x812,50.0,Sidi Bel Abbès,2024-12-06,Standard,652.0,6619.0,CUST_00037
Terry,Johnson,jasmine71@example.net,649.436.1832,36.0,Oran,2023-01-16,Standard,709.0,24944.74,CUST_00038
Laura,Larson,scott74@example.net,(248)387-7190x6594,34.0,Annaba,2025-10-01,Premium,560.0,25165.5,CUST_00039
Mary,Johnston,keyemily@example.com,001-802-978-7429,25.0,Oran,2024-04-10,Premium,674.0,3918.58,CUST_00040
Ricky,Morris,hodgemark@example.net,246.980.7154x5168,18.0,Sétif,2023-01-10,Basic,509.0,12128.1,CUST_00041
April,Dean,wgarrett@example.org,548.424.7710,45.0,Blida,2024-07-07,Premium,634.0,4680.15,CUST_00042
Andrea,Davis,murraydavid@example.org,448.346.7737x8263,28.0,Blida,2025-03-07,Basic,803.0,5050.66,CUST_00043
Melissa,Morgan,lori44@example.net,001-872-978-7558,37.0,Batna,2025-06-22,Premium,651.0,13055.88,CUST_00044
Tina,Allen,xhall@example.com,7573662702,45.0,Sidi Bel Abbès,2023-03-01,Premium,668.0,6898.900000000001,CUST_00045
Renee,Smith,missing,874-759-6158,18.0,Sidi Bel Abbès,2025-06-25,Standard,597.0,7867.94,CUST_00046
Barry,Jones,wendy16@example.org,001-517-824-0050x45562,24.0,Tlemcen,2024-11-28,Basic,699.0,0.0,CUST_00047
Hector,Thompson,pharvey@example.com,001-623-474-7407,49.0,Oran,2024-03-10,Basic,603.0,0.0,CUST_00048
Michael,Matthews,dvaughn@example.com,667.613.6959,18.0,Algiers,2025-10-18,Premium,590.0,4755.74,CUST_00049
Dominique,Hill,lozanojulie@example.com,001-739-453-3942x10470,29.0,Oran,2025-08-04,Standard,712.0,22618.97,CUST_00050
Mark,Perry,davidryan@example.com,784.324.7451x71236,38.0,Sétif,2022-11-27,Standard,575.0,3705.63,CUST_00051
Amanda,Gibson,brenda51@example.net,970.698.5931,42.0,Sétif,2023-03-19,Standard,648.0,5564.16,CUST_00052
Brandon,Johnson,pwilson@example.net,(367)958-6926,31.0,Tlemcen,2024-02-02,Standard,721.0,20061.42,CUST_00053
Stephanie,Johnson,jeff73@example.com,958-350-6431,18.0,Annaba,2024-10-15,Standard,644.0,5522.24,CUST_00054
Carla,Smith,john29@example.org,283-693-3529,39.0,Constantine,2025-10-29,Standard,556.0,34588.92,CUST_00055
Amber,Lindsey,guerreroanthony@example.org,(339)950-2402x681,28.0,Sidi Bel Abbès,2025-03-13,Standard,570.0,18853.9,CUST_00056
William,Rodriguez,soniawilliams@example.net,447.300.7661x77115,26.0,Constantine,2023-09-09,Basic,671.0,628.05,CUST_00057
Cynthia,Kelley,oscar98@example.com,789.961.1836x736,31.0,SÉTIF,2024-02-10,Standard,419.0,4760.97,CUST_00058
Cody,Simmons,nicholas27@example.org,711-361-5280,71.0,Sétif,2023-12-04,Premium,761.0,8165.28,CUST_00059
Elizabeth,Christensen,schmittcaroline@example.com,798-332-7315,27.0,Blida,2024-08-02,Premium,541.0,2369.11,CUST_00060
Lindsay,Bruce,lynchdiane@example.net,302-444-5502x296,53.0,Algiers,2023-02-20,Standard,703.0,20640.15,CUST_00061
Alyssa,Bennett,xpeterson@example.com,001-859-991-0229x0147,18.0,Tlemcen,2024-03-10,Premium,706.0,9021.47,CUST_00062
