customer_id,first_name,last_name,email,phone,age,city,registration_date,customer_segment,credit_score,total_spent,last_purchase_date
CUST_00000,Danielle,Johnson,john21@example.net,001-581-896-0013x3890,40,Annaba,2024-03-18,Standard,636.0,6786.35,
CUST_00001,Joshua,Booth,helenpeterson@example.org,651.216.1559,29,Sidi Bel Abbès,2024-06-21,Standard,704.0,11496.74,
CUST_00002,Teresa,Gray,maria95@example.net,610.934.1316,24,Batna,2023-05-09,Standard,508.0,5959.11,
CUST_00003,Michael,Santiago,lynchgeorge@example.net,527.264.8350,27,BATNA,2024-01-25,Standard,620.0,16259.63,
CUST_00004,Carl,Gentry,jason76@example.net,724.523.8849x696,37,Constantine,2024-05-23,Standard,454.0,3706.01,
CUST_00005,Christopher,Williams,hernandezernest@example.net,(791)366-9784x80184,33,Blida,2024-03-02,Standard,619.0,3533.88,
CUST_00006,Shawn,Mckay,teresa28@example.org,+1-948-293-2528x8095,26,Oran,2025-08-26,Premium,711.0,12598.18,
CUST_00007,Natasha,Decker,,671-882-2782,38,Annaba,2025-08-26,Standard,747.0,9231.1,
CUST_00008,Karina,Vaughn,raymond57@example.net,213.331.5098x393,39,Algiers,2023-07-20,Basic,585.0,11994.66,
CUST_00009,Rebecca,Heath,palmerjoshua@example.com,582.399.7376,36,Oran,2024-11-03,Standard,620.0,6986.04,
CUST_00010,Michael,Jenkins,nuneztracey@example.org,4658133387,25,Constantine,2023-09-13,Basic,599.0,3590.01,
CUST_00011,John,Leblanc,jmorton@example.org,5808132677,26,ALGIERS,2023-05-11,Standard,617.0,22875.020000000004,
CUST_00012,Aaron,Myers,smitchell@example.net,+1-272-734-3098,30,Algiers,2023-01-05,Basic,569.0,2535.57,
CUST_00013,Thomas,Calhoun,,291-336-1939,18,Sétif,2024-11-01,Standard,647.0,11232.7,
CUST_00014,Annette,Stewart,james53@example.com,(524)675-1079x9118,34,Constantine,2025-08-30,Basic,533.0,23185.02,
CUST_00015,Nicole,Suarez,justin78@example.net,698-608-4124x1182,42,Tlemcen,2023-06-30,Premium,850.0,10650.27,
CUST_00016,Matthew,Watts,william40@example.org,+1-264-300-5242x7868,18,Oran,2025-09-12,Standard,656.0,5762.91,
CUST_00017,Hannah,Hernandez,davenportbrandi@example.org,(420)545-0533x15869,44,Constantine,2025-10-16,Basic,526.0,9018.78,
CUST_00018,Lisa,Keith,whitesandra@example.com,+1-534-221-6073x37543,20,Annaba,2024-01-22,Standard,517.0,13920.74,
CUST_00019,Joshua,Jones,michael86@example.net,+1-350-814-2940,38,Batna,2025-01-18,Premium,578.0,26506.78,
CUST_00020,Lee,Obrien,cruzbarbara@example.com,7607883561,48,Oran,2025-01-08,Standard,567.0,7585.240000000001,
CUST_00021,Kevin,Parker,snguyen@example.com,+1-823-266-2994,34,Blida,2023-09-22,Basic,684.0,9185.22,
CUST_00022,Russell,Carpenter,steven73@example.net,221.248.9513x4332,22,ANNABA,2025-10-25,Basic,698.0,483.56,
CUST_00023,Cheryl,Mack,operry@example.net,567.463.2016,24,Biskra,2024-04-04,Basic,498.0,1726.83,
